hours_outside_usual_window,unusual_weekend_login,new_device,new_country,new_city,travel_speed_log,failed_logins,download_ratio_log,data_volume_ratio_log,api_ratio_log,sensitive_ratio_log,new_sensitive_systems,unfamiliar_admin_actions
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2832974741339569,-0.3422590322043719,0.2630978668212425,-0.3695911692052788,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4556148917936359,-0.6899842891514371,-0.19345724094384936,-0.5788580341578177,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1432341680859078,-0.09110554852229302,-0.34748282556981713,-0.39653647736386294,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016024761072697225,-0.3692230053347302,0.10233479474128927,-0.3364722366212129,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019802627296179643,0.16686991533210108,-0.827240915040644,0.2561834053924099,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3519364623187945,-0.6616209269131713,0.4636291673600431,-0.5364933705145686,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266976530459577,0.5285252008653916,0.13353139262452257,-0.27002713721306026,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266976530459577,0.2398106037994214,-0.028987536873252298,0.8285851514550494,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9847986372992251,-0.8057819712221275,-0.1295546709981369,-1.2919836816486494,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36329812347257656,-0.6074280996534551,-0.029881478304469373,-1.0715836162801904,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12047415346787443,0.1119179162039854,-0.10968448713788072,-0.048790164169432056,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5117002411766516,-0.2802519398528899,0.15179235175913175,-0.4317824164255378,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24859468374373403,0.0783126034357538,-0.1243392742556075,0.2966107031960824,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15300550245990155,0.09660598302357898,-0.10953361433845153,0.127833371509885,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022756987122616278,0.0654278053224552,-0.05477635192871664,0.1566538100453768,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09740588437854374,-0.3333786533342173,0.1581780714972406,-0.15700374880966467,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231119807172283,0.019525321998848006,0.4161990792605363,0.6507264646759932,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.164065860617602,0.0,-0.15700374880966467,-0.255265743089814,-0.10762266095905912,-0.5007752879124893,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2848290034693745,0.24863943783160317,-0.03211510845091409,-0.5007752879124893,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29416103854949005,-0.5284398487165994,-0.005905347851592761,-0.44788582399211657,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2832974741339569,-0.2526468735146847,0.32763638795881356,-0.012916225266546401,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7129498078561249,-0.7472524022482302,-0.23362332982773187,-1.3532545070416906,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4205787459182125,0.41419878807691896,0.44462624856784877,0.7621400520468967,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0772751512799783,-0.9183937820709338,-0.2972515234679316,-0.27002713721306026,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4651306645038612,-0.28587631934921404,-0.9181757465699264,-0.15700374880966467,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03908738870804691,-0.2765087718536556,-0.6351648980215981,0.11428914640212759,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058083211081024606,0.0075868470130579495,0.18934617173091903,-0.15415067982725836,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.28855668986244176,-0.2994833017807774,0.10923273734033574,-0.4317824164255378,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32208349916911316,-0.1940051735024409,0.05437892296073191,-0.5788580341578177,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4222223772183839,0.5529714306383346,0.11192582362391286,0.6331644759582349,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5401416781000438,-0.29457316783710885,0.0048767368392925465,-0.9707789171582246,0.0,0.0
